Id,HomeTeamNumberOfSeasonsInPL,HomeTeamIsFromBigSix,HomeTeamIsNewInPL,HomeTeamRedCardsInLastMatch,HomeTeamCurrentSeasonPointsPerMatchHome,HomeTeamCurrentSeasonDrawsPerMatch,HomeTeamCurrentSeasonDrawsPerMatchHome,HomeTeamCurrentSeasonLosesPerMatch,HomeTeamCurrentSeasonGoalsScoredPerMatchHome,HomeTeamCurrentSeasonGoalsConcededPerMatch,HomeTeamCurrentSeasonGoalsConcededPerMatchHome,HomeTeamCurrentSeasonCleanSheatsPerMatch,HomeTeamCurrentSeasonCleanSheatsPerMatchHome,HomeTeamLastSeasonDrawsPerMatch,HomeTeamLastSeasonDrawsPerMatchHome,HomeTeamLastSeasonGoalsConcededPerMatchHome,HomeTeamLastSeasonCleanSheatsPerMatch,HomeTeamLast3SeasonsDrawsPerMatchHome,HomeTeamLast6SeasonsDrawsPerMatchHome,HomeTeamLast9SeasonsDrawsPerMatch,HomeTeamLast9SeasonsGoalsScoredPerMatch,HomeTeamLast5MatchesPointsPerMatch,HomeTeamLast5MatchesDrawsPerMatch,HomeTeamLast5MatchesGoalsScoredPerMatch,HomeTeamLast5MatchesGoalsConcededPerMatch,HomeTeamLast5MatcheCleanSheatsPerMatch,HomeTeamLastH2HMAtchGoalsScoredHome,HomeTeamLastH2HMatchGoalsConcededHome,HomeTeamLast4H2HMatchesWinsPerMatchHome,HomeTeamLast4H2HMatchesDrawsPerMatchHome,HomeTeamLast4H2HMatchesLosesPerMatchHome,HomeTeamLast4H2HMatchesGoalsScoredPerMatchHome,HomeTeamLast4H2HMatchesCleanSheatsPerMatchHome,HomeTeamLastH2HMatchResultHome,AwayTeamNumberOfSeasonsInPL,AwayTeamIsFromBigSix,AwayTeamIsNewInPL,AwayTeamRedCardsInLastMatch,AwayTeamCurrentSeasonPointsPerMatchAaway,AwayTeamCurrentSeasonDrawsPerMatch,AwayTeamCurrentSeasonDrawsPerMatchAway,AwayTeamCurrentSeasonLosesPerMatch,AwayTeamCurrentSeasonLosesPerMatchAway,AwayTeamCurrentSeasonGoalsScoredPerMatchAway,AwayTeamCurrentSeasonGoalsConcededPerMatch,AwayTeamCurrentSeasonGoalsConcededPerMatchAway,AwayTeamCurrentSeasonCleanSheatsPerMatch,AwayTeamCurrentSeasonCleanSheatsPerMatchAway,AwayTeamLastSeasonDrawsPerMatch,AwayTeamLastSeasonDrawsPerMatchAway,AwayTeamLastSeasonGoalsConcededPerMatchAway,AwayTeamLastSeasonCleanSheatsPerMatch,AwayTeamLast3SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsLosesPerMatch,AwayTeamLast9SeasonsDrawsPerMatch,AwayTeamLast5MatchesPointsPerMatch,AwayTeamLast5MatchesDrawsPerMatch,AwayTeamLast5MatchesGoalsScoredPerMatch,AwayTeamLast5MatchesGoalsConcededPerMatch,AwayTeamLast5MatcheCleanSheatsPerMatch,AwayTeamLast4H2HMatchesGoalsScoredPerMatchAway,AwayTeamLast4H2HMatchesCleanSheatsPerMatchAway,AwayTeamLastH2HMatchResultAway,FullTimeResult
883,0.25,0,1,0,1.3333333333333,0.16666666666667,0.33333333333333,0.16666666666667,1.5,1.9166666666667,1.3333333333333,0.16666666666667,0.33333333333333,0.19298245614035,0.21052631578947,1.3859649122807,0.25438596491228,0.26315789473684,0.28947368421053,0.23226544622426,1.0366132723112,0.8,0.2,1.4,1.6,0.2,1.0175438596491,1.0175438596491,0.28947368421053,0.26315789473684,0.44736842105263,0.93421052631579,0.30263157894737,D,0.16666666666667,0,1,0,0.5,0.33333333333333,0,0.16666666666667,0,0.16666666666667,1.5,1.5,0.16666666666667,0.16666666666667,0.19298245614035,0.17543859649123,1.6842105263158,0.25438596491228,0.19883040935673,0.20760233918129,0.47953216374269,0.23976608187135,0.2,0.2,0,1.2,0.2,0.86842105263158,0.16666666666667,D,H
884,0.75,0,0,0,1.1666666666667,0.58333333333333,0.66666666666667,0.16666666666667,1.1666666666667,1.5833333333333,1.1666666666667,0.25,0.16666666666667,0.21052631578947,0.15789473684211,1.4210526315789,0.28947368421053,0.31578947368421,0.28947368421053,0.24641148325359,1.0263157894737,1,0.4,0.8,2.4,0.2,3,4,0,0,1,1.75,0,L,1,1,0,0,2.3333333333333,0.16666666666667,0.33333333333333,0.83333333333333,0,2.5,0.91666666666667,1.3333333333333,0.33333333333333,0,0.18421052631579,0.21052631578947,0.84210526315789,0.47368421052632,0.26315789473684,0.2280701754386,0.18859649122807,0.21052631578947,2.6,0.2,1.8,0.8,0.2,3.25,0,W,D
885,0.33333333333333,0,0,0,2.1666666666667,0.25,0.16666666666667,0.41666666666667,1.6666666666667,1.0833333333333,0.66666666666667,0.41666666666667,0.5,0.23684210526316,0.26315789473684,1.3684210526316,0.21052631578947,0.35087719298246,0.31578947368421,0.24310776942356,1.0964912280702,1.4,0.2,1.2,1,0.4,1,1,0,1,0,1,0,D,0.25,0,0,0,0.83333333333333,0.25,0.33333333333333,0.25,0,1.5,1.75,2,0.16666666666667,0,0.15789473684211,0.15789473684211,1.3157894736842,0.31578947368421,0.20300751879699,0.21052631578947,0.46875,0.24210526315789,0.8,0.2,1.4,1.8,0,1,0,D,D
886,0.66666666666667,0,0,1,1,0.33333333333333,0.5,0.25,1.6666666666667,1.4166666666667,1.6666666666667,0.33333333333333,0.16666666666667,0.39473684210526,0.47368421052632,1.4210526315789,0.18421052631579,0.28070175438596,0.29605263157895,0.24385964912281,1.0368421052632,1,0.4,1,1.6,0.2,1,1,0,0.5,0.5,1.5,0,D,1,1,0,0,1.3333333333333,0.41666666666667,0.33333333333333,0.33333333333333,0,1.5,1.25,1.1666666666667,0.25,0.33333333333333,0.18421052631579,0.10526315789474,1.5789473684211,0.44736842105263,0.17543859649123,0.24561403508772,0.20614035087719,0.23976608187135,1.4,0.2,1.8,1.2,0.4,2,0,D,A
887,0.75,0,0,0,1.6666666666667,0.25,0.16666666666667,0.41666666666667,1.3333333333333,1.3333333333333,1,0.16666666666667,0.33333333333333,0.18421052631579,0.15789473684211,1.3684210526316,0.36842105263158,0.28421052631579,0.25657894736842,0.23923444976077,1.1602870813397,1.6,0.4,1.6,1.2,0.2,1,3,0.25,0.25,0.5,1.25,0.25,L,0.91666666666667,0,0,0,1.3333333333333,0.33333333333333,0.33333333333333,0.41666666666667,0,1,1.25,1.3333333333333,0.41666666666667,0.33333333333333,0.10526315789474,0.052631578947368,1.6315789473684,0.26315789473684,0.19298245614035,0.19736842105263,0.45065789473684,0.24162679425837,3,0,1.4,0.2,0.8,1.5,0.25,W,H
888,0.41666666666667,0,0,0,2.6666666666667,0.16666666666667,0.16666666666667,0.66666666666667,2.8333333333333,0.5,0.16666666666667,0.58333333333333,0.83333333333333,0.28947368421053,0.31578947368421,1.2105263157895,0.39473684210526,0.32631578947368,0.31203007518797,0.24599542334096,1.1121281464531,2.6,0.2,2.6,0.2,0.8,1,1,0.25,0.5,0.25,1,0.25,D,1,1,0,0,1.8333333333333,0.25,0.33333333333333,0.58333333333333,0,2.1666666666667,1.0833333333333,1.3333333333333,0.25,0.33333333333333,0.13157894736842,0.21052631578947,1.2631578947368,0.42105263157895,0.24561403508772,0.28070175438596,0.22368421052632,0.19883040935673,2,0.2,2,1.2,0.2,1,0.5,D,A
889,1,1,0,0,1,0.16666666666667,0,0.41666666666667,1.1666666666667,1.4166666666667,1.3333333333333,0.25,0.33333333333333,0.15789473684211,0.15789473684211,1.2105263157895,0.36842105263158,0.19298245614035,0.23684210526316,0.25438596491228,1.5497076023392,1.2,0,1.4,2,0,1,0,0.5,0.5,0,1.5,0.5,W,1,0,0,0,1.5,0.41666666666667,0.5,0.33333333333333,0,1.6666666666667,1.5833333333333,1.1666666666667,0.25,0.16666666666667,0.23684210526316,0.31578947368421,1.0526315789474,0.39473684210526,0.40350877192982,0.3859649122807,0.24122807017544,0.30409356725146,2.2,0.4,1.8,0.6,0.4,0.75,0,L,H
890,0.16666666666667,0,1,0,0.85714285714286,0.38461538461538,0.42857142857143,0.15384615384615,0.71428571428571,1.6153846153846,1.4285714285714,0.30769230769231,0.42857142857143,0.19298245614035,0.21052631578947,1.3859649122807,0.25438596491228,0.29824561403509,0.28947368421053,0.23578947368421,1.0936842105263,1.4,0.2,1,1.6,0.2,1.0175438596491,1.0175438596491,0.34210526315789,0.28947368421053,0.36842105263158,1.2368421052632,0.28947368421053,D,0.91666666666667,0,0,1,1.1428571428571,0.30769230769231,0.28571428571429,0.38461538461538,0,0.85714285714286,1.2307692307692,1.2857142857143,0.38461538461538,0.28571428571429,0.10526315789474,0.052631578947368,1.6315789473684,0.26315789473684,0.19298245614035,0.19736842105263,0.45065789473684,0.24162679425837,2.4,0,1.2,0.4,0.6,1.0789473684211,0.15789473684211,D,D
891,0.25,0,0,0,1.1666666666667,0.30769230769231,0.16666666666667,0.23076923076923,1.3333333333333,1.6923076923077,1.5,0.15384615384615,0.33333333333333,0.15789473684211,0.15789473684211,1.2105263157895,0.31578947368421,0.31578947368421,0.30921052631579,0.24210526315789,1.0936842105263,1,0.4,1.4,1.6,0,1,0,1,0,0,1.5,1,W,1,0,0,0,1.1428571428571,0.30769230769231,0.28571428571429,0.23076923076923,0,0.42857142857143,1.3846153846154,1.2857142857143,0.30769230769231,0.42857142857143,0.21052631578947,0.26315789473684,1.6842105263158,0.23684210526316,0.36842105263158,0.28947368421053,0.3640350877193,0.33040935672515,0.6,0.6,0.6,1.2,0.2,0,0,L,A
892,0.16666666666667,0,1,0,1.1666666666667,0.30769230769231,0.66666666666667,0.15384615384615,1.6666666666667,1.6153846153846,1.5,0.15384615384615,0.16666666666667,0.19298245614035,0.21052631578947,1.3859649122807,0.25438596491228,0.29824561403509,0.30116959064327,0.23976608187135,1.0808966861598,0.2,0.2,0.4,1.6,0.2,0,0,0,1,0,0,1,D,1,1,0,0,1,0.15384615384615,0,0.38461538461538,0,1.5,1.3846153846154,2,0.23076923076923,0.16666666666667,0.15789473684211,0.26315789473684,1.6842105263158,0.26315789473684,0.2280701754386,0.2280701754386,0.24561403508772,0.24561403508772,0.8,0.2,0.6,1.2,0.4,0,1,D,A
