Id,HomeTeamNumberOfSeasonsInPL,HomeTeamIsFromBigSix,HomeTeamIsNewInPL,HomeTeamRedCardsInLastMatch,HomeTeamCurrentSeasonPointsPerMatchHome,HomeTeamCurrentSeasonDrawsPerMatch,HomeTeamCurrentSeasonDrawsPerMatchHome,HomeTeamCurrentSeasonLosesPerMatch,HomeTeamCurrentSeasonGoalsScoredPerMatchHome,HomeTeamCurrentSeasonGoalsConcededPerMatch,HomeTeamCurrentSeasonGoalsConcededPerMatchHome,HomeTeamCurrentSeasonCleanSheatsPerMatch,HomeTeamCurrentSeasonCleanSheatsPerMatchHome,HomeTeamLastSeasonDrawsPerMatch,HomeTeamLastSeasonDrawsPerMatchHome,HomeTeamLastSeasonGoalsConcededPerMatchHome,HomeTeamLastSeasonCleanSheatsPerMatch,HomeTeamLast3SeasonsDrawsPerMatchHome,HomeTeamLast6SeasonsDrawsPerMatchHome,HomeTeamLast9SeasonsDrawsPerMatch,HomeTeamLast9SeasonsGoalsScoredPerMatch,HomeTeamLast5MatchesPointsPerMatch,HomeTeamLast5MatchesDrawsPerMatch,HomeTeamLast5MatchesGoalsScoredPerMatch,HomeTeamLast5MatchesGoalsConcededPerMatch,HomeTeamLast5MatcheCleanSheatsPerMatch,HomeTeamLastH2HMAtchGoalsScoredHome,HomeTeamLastH2HMatchGoalsConcededHome,HomeTeamLast4H2HMatchesWinsPerMatchHome,HomeTeamLast4H2HMatchesDrawsPerMatchHome,HomeTeamLast4H2HMatchesLosesPerMatchHome,HomeTeamLastH2HMatchResultHome,HomeTeamLast4H2HMatchesGoalsScoredPerMatchHome,HomeTeamLast4H2HMatchesCleanSheatsPerMatchHome,AwayTeamNumberOfSeasonsInPL,AwayTeamIsFromBigSix,AwayTeamIsNewInPL,AwayTeamRedCardsInLastMatch,AwayTeamCurrentSeasonPointsPerMatchAaway,AwayTeamCurrentSeasonDrawsPerMatch,AwayTeamCurrentSeasonDrawsPerMatchAway,AwayTeamCurrentSeasonLosesPerMatch,AwayTeamCurrentSeasonLosesPerMatchAway,AwayTeamCurrentSeasonGoalsScoredPerMatchAway,AwayTeamCurrentSeasonGoalsConcededPerMatch,AwayTeamCurrentSeasonGoalsConcededPerMatchAway,AwayTeamCurrentSeasonCleanSheatsPerMatch,AwayTeamCurrentSeasonCleanSheatsPerMatchAway,AwayTeamLastSeasonDrawsPerMatch,AwayTeamLastSeasonDrawsPerMatchAway,AwayTeamLastSeasonGoalsConcededPerMatchAway,AwayTeamLastSeasonCleanSheatsPerMatch,AwayTeamLast3SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsDrawsPerMatchAway,AwayTeamLast6SeasonsLosesPerMatch,AwayTeamLast9SeasonsDrawsPerMatch,AwayTeamLast5MatchesPointsPerMatch,AwayTeamLast5MatchesDrawsPerMatch,AwayTeamLast5MatchesGoalsScoredPerMatch,AwayTeamLast5MatchesGoalsConcededPerMatch,AwayTeamLast5MatcheCleanSheatsPerMatch,AwayTeamLast4H2HMatchesGoalsScoredPerMatchAway,AwayTeamLast4H2HMatchesCleanSheatsPerMatchAway,FullTimeResult
1,1,1,0,0,2.1052631578947,0.18421052631579,0.21052631578947,0.26315789473684,2.0526315789474,1.2894736842105,0.89473684210526,0.34210526315789,0.42105263157895,0.18421052631579,0.21052631578947,0.89473684210526,0.34210526315789,0.17543859649123,0.2280701754386,0.24853801169591,1.9356725146199,1.2,0.6,1.6,1.6,0.2,2,1,0.5,0.5,0,W,1,0.75,0.7,0,0,0,0.89473684210526,0.31578947368421,0.26315789473684,0.39473684210526,0,1,1.2105263157895,1.5263157894737,0.31578947368421,0.21052631578947,0.31578947368421,0.26315789473684,1.5263157894737,0.31578947368421,0.26315789473684,0.23026315789474,0.46710526315789,0.26973684210526,0.6,0.6,0.6,1,0.4,0.25,0.5,D
2,1,0,0,0,1.8421052631579,0.26315789473684,0.26315789473684,0.36842105263158,1.8947368421053,1.3421052631579,1.3684210526316,0.28947368421053,0.26315789473684,0.26315789473684,0.26315789473684,1.3684210526316,0.28947368421053,0.26315789473684,0.26315789473684,0.28654970760234,1.1783625730994,1.8,0,1,1.6,0.2,2,1,1,0,0,W,4,0.5,0.3,0,0,0,1.0526315789474,0.28947368421053,0.26315789473684,0.39473684210526,0,1.2631578947368,1.7368421052632,1.8947368421053,0.078947368421053,0,0.28947368421053,0.26315789473684,1.8947368421053,0.078947368421053,0.20300751879699,0.20394736842105,0.49506578947368,0.24210526315789,0.8,0.2,1.2,2.8,0.2,0.5,0,H
3,0.9,0,0,0,2,0.21052631578947,0.26315789473684,0.28947368421053,1.5263157894737,1.3421052631579,0.89473684210526,0.39473684210526,0.47368421052632,0.21052631578947,0.26315789473684,0.89473684210526,0.39473684210526,0.34736842105263,0.34210526315789,0.28708133971292,1.1794258373206,1.2,0,1.2,1.8,0.4,2,2,0.5,0.5,0,D,2,0,1,1,0,0,1.4210526315789,0.23684210526316,0.31578947368421,0.23684210526316,0,1.4210526315789,1.0789473684211,1.2631578947368,0.36842105263158,0.26315789473684,0.23684210526316,0.31578947368421,1.2631578947368,0.36842105263158,0.28070175438596,0.29824561403509,0.29824561403509,0.25730994152047,2,0.2,1.8,0.6,0.4,1.25,0,H
4,0.2,0,0,0,1.3684210526316,0.18421052631579,0.26315789473684,0.55263157894737,1.2631578947368,1.7368421052632,1.3157894736842,0.18421052631579,0.26315789473684,0.18421052631579,0.26315789473684,1.3157894736842,0.18421052631579,0.33082706766917,0.29605263157895,0.2488038277512,1.066985645933,1.2,0,1,2,0.4,3,0,1,0,0,W,3,1,0.2,0,0,0,0.84210526315789,0.28947368421053,0.21052631578947,0.39473684210526,0,0.89473684210526,1.3421052631579,1.7368421052632,0.36842105263158,0.26315789473684,0.28947368421053,0.21052631578947,1.7368421052632,0.36842105263158,0.19548872180451,0.20065789473684,0.49506578947368,0.25358851674641,1.6,0.4,1.8,1.4,0.4,0,0,A
5,0.3,0,1,0,1.4736842105263,0.25438596491228,0.31578947368421,0.44736842105263,1.3859649122807,1.6052631578947,1.280701754386,0.21052631578947,0.29824561403509,0.25438596491228,0.31578947368421,1.280701754386,0.21052631578947,0.33333333333333,0.2781954887218,0.25,1.1394736842105,1.2,0.2,1.3333333333333,2.0666666666667,0.33333333333333,1.3859649122807,1.3859649122807,0.35964912280702,0.32456140350877,0.31578947368421,D,1.5789473684211,0.21052631578947,0.5,0,0,0,0.84210526315789,0.31578947368421,0.21052631578947,0.39473684210526,0,0.57894736842105,1.3947368421053,1.7368421052632,0.23684210526316,0.15789473684211,0.31578947368421,0.21052631578947,1.7368421052632,0.23684210526316,0.26315789473684,0.20526315789474,0.49210526315789,0.25328947368421,0.6,0.6,0.8,1.6,0,0.68421052631579,0.15789473684211,D
6,0.6,0,0,0,1.1052631578947,0.21052631578947,0.15789473684211,0.44736842105263,1.1052631578947,1.3684210526316,1.1578947368421,0.26315789473684,0.42105263157895,0.21052631578947,0.15789473684211,1.1578947368421,0.26315789473684,0.30526315789474,0.28508771929825,0.25,0.99812030075188,1.6,0.4,1.2,1,0.6,0,2,0.25,0,0.75,L,0.5,0,1,1,0,0,1.3157894736842,0.26315789473684,0.052631578947368,0.36842105263158,0,1.2105263157895,1.0526315789474,1.2631578947368,0.31578947368421,0.36842105263158,0.26315789473684,0.052631578947368,1.2631578947368,0.31578947368421,0.17543859649123,0.21929824561404,0.24122807017544,0.24561403508772,1.2,0,1.4,0.8,0.2,1.75,0.75,H
7,0.7,0,1,0,1.4736842105263,0.25438596491228,0.31578947368421,0.44736842105263,1.3859649122807,1.6052631578947,1.280701754386,0.21052631578947,0.29824561403509,0.25438596491228,0.31578947368421,1.280701754386,0.21052631578947,0.29473684210526,0.25657894736842,0.26973684210526,1.1381578947368,1.2,0.2,1.3333333333333,2.0666666666667,0.33333333333333,1,2,0.25,0.25,0.5,L,1.25,0,1,0,0,0,1,0.44736842105263,0.52631578947368,0.36842105263158,0,0.89473684210526,1.3947368421053,1.4736842105263,0.23684210526316,0.26315789473684,0.44736842105263,0.52631578947368,1.4736842105263,0.23684210526316,0.35087719298246,0.35087719298246,0.28947368421053,0.33918128654971,0.6,0.6,0.4,1,0.4,1.5,0.25,H
8,1,1,0,0,2.8947368421053,0.13157894736842,0.052631578947368,0.13157894736842,2.8947368421053,0.76315789473684,0.63157894736842,0.44736842105263,0.57894736842105,0.13157894736842,0.052631578947368,0.63157894736842,0.44736842105263,0.15789473684211,0.16666666666667,0.23684210526316,1.4707602339181,3,0,2.8,0.6,0.6,2,1,0.5,0,0.5,W,1.5,0,0.3,0,1,0,0.82456140350877,0.25438596491228,0.19298245614035,0.44736842105263,0.59649122807018,1.0526315789474,1.6052631578947,1.9298245614035,0.21052631578947,0.12280701754386,0.25438596491228,0.19298245614035,1.9298245614035,0.21052631578947,0.19298245614035,0.19883040935673,0.49269005847953,0.24599542334096,1.2,0.2,1.3333333333333,2.0666666666667,0.33333333333333,2,0,H
9,0.8,0,0,0,1.1578947368421,0.26315789473684,0.36842105263158,0.44736842105263,1.1578947368421,1.6315789473684,1.4210526315789,0.21052631578947,0.31578947368421,0.26315789473684,0.36842105263158,1.4210526315789,0.21052631578947,0.3859649122807,0.31578947368421,0.28157894736842,1.0210526315789,2.4,0,2.2,1,0.4,1,1,0.25,0.25,0.5,D,1,0,1,1,0,0,1.3157894736842,0.26315789473684,0.36842105263158,0.26315789473684,0,1.2631578947368,1.2105263157895,1.1578947368421,0.26315789473684,0.26315789473684,0.26315789473684,0.36842105263158,1.1578947368421,0.26315789473684,0.28070175438596,0.21929824561404,0.15789473684211,0.20760233918129,1.4,0.2,1.8,1.6,0.2,2.25,0.5,A
10,1,0,0,0,1.7368421052632,0.28947368421053,0.15789473684211,0.31578947368421,1.4736842105263,1.0526315789474,0.78947368421053,0.31578947368421,0.36842105263158,0.28947368421053,0.15789473684211,0.78947368421053,0.31578947368421,0.28070175438596,0.26315789473684,0.28947368421053,1.3070175438596,1.8,0.6,2.4,1.2,0.4,0,1,0.25,0.5,0.25,L,1.75,0,1,1,0,0,2.2105263157895,0.13157894736842,0.15789473684211,0.13157894736842,0,1.9473684210526,0.86842105263158,0.73684210526316,0.52631578947368,0.47368421052632,0.13157894736842,0.15789473684211,0.73684210526316,0.52631578947368,0.28070175438596,0.24561403508772,0.13157894736842,0.1812865497076,2,0.2,2.2,1,0.6,1.5,0.25,H
