Id,HomeTeam,HomeIsFromBigSix,HomeIsNewInPL,HomeRedCardsInLastMatch,AwayTeam,AwayIsFromBigSix,AwayIsNewInPL,AwayRedCardsInLastMatch,FullTimeResult
115,Stoke,0,1,0,Sunderland,0,1,0,H
116,West Ham,0,1,0,Chelsea,1,1,0,A
117,Cardiff,0,1,0,Man United,1,1,0,D
118,Man City,1,1,0,Tottenham,1,1,0,H
119,West Brom,0,1,0,Aston Villa,0,1,0,D
120,Aston Villa,0,1,0,Sunderland,0,1,1,D
121,Cardiff,0,1,0,Arsenal,1,1,0,A
122,Everton,0,1,0,Stoke,0,1,0,H
123,Newcastle,0,1,0,West Brom,0,1,0,H
124,Norwich,0,1,0,Crystal Palace,0,1,1,H
125,West Ham,0,1,0,Fulham,0,1,0,H
126,Chelsea,1,1,0,Southampton,0,1,0,H
127,Hull,0,1,0,Liverpool,1,1,0,H
128,Man City,1,1,0,Swansea,0,1,0,H
129,Tottenham,1,1,0,Man United,1,1,0,D
130,Crystal Palace,0,1,0,West Ham,0,1,0,H
131,Arsenal,1,1,0,Hull,0,1,0,H
132,Fulham,0,1,0,Tottenham,1,1,0,A
133,Liverpool,1,1,0,Norwich,0,1,0,H
134,Man United,1,1,0,Everton,0,1,0,A
135,Southampton,0,1,0,Aston Villa,0,1,0,A
136,Stoke,0,1,0,Cardiff,0,1,0,D
137,Sunderland,0,1,0,Chelsea,1,1,0,A
138,Swansea,0,1,0,Newcastle,0,1,0,H
139,West Brom,0,1,0,Man City,1,1,0,A
140,Crystal Palace,0,1,0,Cardiff,0,1,0,H
141,Liverpool,1,1,0,West Ham,0,1,0,H
142,Man United,1,1,0,Newcastle,0,1,0,A
143,Southampton,0,1,0,Man City,1,1,0,D
144,Stoke,0,1,0,Chelsea,1,1,0,H
145,Sunderland,0,1,0,Tottenham,1,1,0,A
146,West Brom,0,1,0,Norwich,0,1,0,A
147,Arsenal,1,1,0,Everton,0,1,0,D
148,Fulham,0,1,0,Aston Villa,0,1,0,H
149,Swansea,0,1,0,Hull,0,1,0,D
150,Cardiff,0,1,0,West Brom,0,1,0,H
151,Chelsea,1,1,0,Crystal Palace,0,1,0,H
152,Everton,0,1,0,Fulham,0,1,0,H
153,Hull,0,1,0,Stoke,0,1,0,D
154,Man City,1,1,0,Arsenal,1,1,0,H
155,Newcastle,0,1,0,Southampton,0,1,0,D
156,West Ham,0,1,1,Sunderland,0,1,0,D
157,Aston Villa,0,1,0,Man United,1,1,0,A
158,Norwich,0,1,0,Swansea,0,1,0,D
159,Tottenham,1,1,0,Liverpool,1,1,0,A
160,Crystal Palace,0,1,0,Newcastle,0,1,0,A
161,Fulham,0,1,0,Man City,1,1,0,A
162,Liverpool,1,1,0,Cardiff,0,1,0,H
163,Man United,1,1,0,West Ham,0,1,0,H
164,Stoke,0,1,0,Aston Villa,0,1,0,H
165,Sunderland,0,1,0,Norwich,0,1,0,D
166,West Brom,0,1,0,Hull,0,1,0,D
167,Southampton,0,1,0,Tottenham,1,1,1,A
168,Swansea,0,1,0,Everton,0,1,0,A
169,Arsenal,1,1,0,Chelsea,1,1,0,D
170,Aston Villa,0,1,0,Crystal Palace,0,1,0,A
171,Cardiff,0,1,0,Southampton,0,1,0,A
172,Chelsea,1,1,0,Swansea,0,1,0,H
173,Everton,0,1,0,Sunderland,0,1,1,A
174,Hull,0,1,0,Man United,1,1,0,A
175,Man City,1,1,0,Liverpool,1,1,0,H
176,Newcastle,0,1,0,Stoke,0,1,0,H
177,Norwich,0,1,0,Fulham,0,1,0,A
178,Tottenham,1,1,0,West Brom,0,1,0,D
179,West Ham,0,1,0,Arsenal,1,1,0,A
180,Aston Villa,0,1,0,Swansea,0,1,0,D
181,Cardiff,0,1,0,Sunderland,0,1,0,D
182,Hull,0,1,0,Fulham,0,1,0,H
183,Man City,1,1,0,Crystal Palace,0,1,0,H
184,Norwich,0,1,0,Man United,1,1,1,A
185,West Ham,0,1,0,West Brom,0,1,0,D
186,Chelsea,1,1,0,Liverpool,1,1,0,H
187,Everton,0,1,1,Southampton,0,1,0,H
188,Newcastle,0,1,0,Arsenal,1,1,0,A
189,Tottenham,1,1,0,Stoke,0,1,2,H
190,Arsenal,1,1,0,Cardiff,0,1,0,H
191,Crystal Palace,0,1,0,Norwich,0,1,0,D
192,Fulham,0,1,0,West Ham,0,1,0,H
193,Liverpool,1,1,0,Hull,0,1,0,H
194,Man United,1,1,0,Tottenham,1,1,0,A
195,Southampton,0,1,0,Chelsea,1,1,0,A
196,Stoke,0,1,0,Everton,0,1,0,D
197,Sunderland,0,1,0,Aston Villa,0,1,0,A
198,Swansea,0,1,0,Man City,1,1,0,A
199,West Brom,0,1,0,Newcastle,0,1,0,H
200,Cardiff,0,1,0,West Ham,0,1,1,A
201,Everton,0,1,0,Norwich,0,1,1,H
202,Fulham,0,1,0,Sunderland,0,1,0,A
203,Hull,0,1,0,Chelsea,1,1,0,A
204,Man United,1,1,0,Swansea,0,1,0,H
205,Southampton,0,1,0,West Brom,0,1,0,H
206,Tottenham,1,1,0,Crystal Palace,0,1,0,H
207,Newcastle,0,1,1,Man City,1,1,0,A
208,Stoke,0,1,0,Liverpool,1,1,0,A
209,Aston Villa,0,1,0,Arsenal,1,1,0,A
210,Arsenal,1,1,0,Fulham,0,1,0,H
211,Crystal Palace,0,1,0,Stoke,0,1,0,H
212,Liverpool,1,1,0,Aston Villa,0,1,0,D
213,Man City,1,1,0,Cardiff,0,1,0,H
214,Norwich,0,1,0,Hull,0,1,0,H
215,Sunderland,0,1,0,Southampton,0,1,0,D
216,West Ham,0,1,1,Newcastle,0,1,0,A
217,Chelsea,1,1,0,Man United,1,1,0,H
218,Swansea,0,1,0,Tottenham,1,1,0,A
219,West Brom,0,1,0,Everton,0,1,0,D
220,Crystal Palace,0,1,0,Hull,0,1,1,H
221,Liverpool,1,1,0,Everton,0,1,0,H
222,Man United,1,1,1,Cardiff,0,1,0,H
223,Norwich,0,1,0,Newcastle,0,1,0,D
224,Southampton,0,1,0,Arsenal,1,1,0,D
225,Swansea,0,1,0,Fulham,0,1,0,H
226,Aston Villa,0,1,0,West Brom,0,1,0,H
227,Chelsea,1,1,0,West Ham,0,1,0,D
228,Sunderland,0,1,0,Stoke,0,1,0,H
229,Tottenham,1,1,0,Man City,1,1,0,A
230,Cardiff,0,1,0,Norwich,0,1,1,H
231,Everton,0,1,0,Aston Villa,0,1,0,H
232,Fulham,0,1,0,Southampton,0,1,0,A
233,Hull,0,1,1,Tottenham,1,1,1,D
234,Newcastle,0,1,1,Sunderland,0,1,0,A
235,Stoke,0,1,1,Man United,1,1,0,H
236,West Ham,0,1,0,Swansea,0,1,0,H
237,Arsenal,1,1,1,Crystal Palace,0,1,0,H
238,West Brom,0,1,0,Liverpool,1,1,0,D
239,Man City,1,1,0,Chelsea,1,1,0,A
240,Aston Villa,0,1,0,West Ham,0,1,1,A
241,Chelsea,1,1,0,Newcastle,0,1,0,H
242,Crystal Palace,0,1,0,West Brom,0,1,0,H
243,Liverpool,1,1,0,Arsenal,1,1,0,H
244,Norwich,0,1,0,Man City,1,1,0,D
245,Southampton,0,1,0,Stoke,0,1,0,D
246,Sunderland,0,1,0,Hull,0,1,0,A
247,Swansea,0,1,0,Cardiff,0,1,0,H
248,Man United,1,1,0,Fulham,0,1,0,D
249,Tottenham,1,1,0,Everton,0,1,0,H
250,Cardiff,0,1,0,Aston Villa,0,1,0,D
251,Hull,0,1,0,Southampton,0,1,0,A
252,West Brom,0,1,0,Chelsea,1,1,0,D
253,West Ham,0,1,0,Norwich,0,1,0,H
254,Arsenal,1,1,0,Man United,1,1,0,D
255,Fulham,0,1,0,Liverpool,1,1,0,A
256,Newcastle,0,1,0,Tottenham,1,1,0,A
257,Stoke,0,1,0,Swansea,0,1,0,D
258,Arsenal,1,1,0,Sunderland,0,1,1,H
259,Cardiff,0,1,0,Hull,0,1,0,A
260,Chelsea,1,1,0,Everton,0,1,0,H
261,Crystal Palace,0,1,0,Man United,1,1,0,A
262,Man City,1,1,0,Stoke,0,1,0,H
263,West Brom,0,1,0,Fulham,0,1,0,D
264,West Ham,0,1,0,Southampton,0,1,0,H
265,Liverpool,1,1,0,Swansea,0,1,0,H
266,Newcastle,0,1,0,Aston Villa,0,1,0,H
267,Norwich,0,1,0,Tottenham,1,1,0,H
268,Everton,0,1,0,West Ham,0,1,0,H
269,Fulham,0,1,0,Chelsea,1,1,0,A
270,Hull,0,1,0,Newcastle,0,1,0,A
271,Southampton,0,1,0,Liverpool,1,1,0,A
272,Stoke,0,1,0,Arsenal,1,1,0,H
273,Aston Villa,0,1,0,Norwich,0,1,0,H
274,Swansea,0,1,0,Crystal Palace,0,1,0,D
275,Tottenham,1,1,0,Cardiff,0,1,0,H
276,Cardiff,0,1,0,Fulham,0,1,0,H
277,Chelsea,1,1,0,Tottenham,1,1,0,H
278,Crystal Palace,0,1,0,Southampton,0,1,0,A
279,Norwich,0,1,0,Stoke,0,1,0,D
280,West Brom,0,1,0,Man United,1,1,0,A
281,Aston Villa,0,1,0,Chelsea,1,1,0,H
282,Everton,0,1,0,Cardiff,0,1,0,H
283,Fulham,0,1,0,Newcastle,0,1,0,H
284,Hull,0,1,0,Man City,1,1,0,A
285,Southampton,0,1,0,Norwich,0,1,0,H
286,Stoke,0,1,1,West Ham,0,1,0,H
287,Sunderland,0,1,0,Crystal Palace,0,1,0,D
288,Swansea,0,1,1,West Brom,0,1,0,A
289,Man United,1,1,0,Liverpool,1,1,0,A
290,Tottenham,1,1,1,Arsenal,1,1,0,A
